sampleID,pdo_sample
AA02-Tumor-SM-5LB98,SM-E9H9Q
AA22-Tumor-SM-ALFLY,SM-GXJ21
AA22-Tumor-SM-GXH2L,SM-GXJ1O
AA26-Tumor-SM-AU5YZ,SM-GXJ1N
AA26-Tumor-SM-GXH2N,SM-GXJ1K
AA40-Tumor-SM-BZYSE,SM-GXJ1L
AA42-Tumor-SM-CGNNZ,SM-GXJ1Y
AA42-Tumor-SM-GXH2T,SM-GXIZF
AA55-Tumor-SM-D5OW6,SM-GXIZN
AA56-Tumor-SM-D6NWG,SM-GXJ1G
AA56-Tumor-SM-GXH2X,SM-GXJ1V
AA59-Tumor-SM-DE63O,SM-GXJ1H
AA59-Tumor-SM-GXH2Z,SM-GXIZO
AB018-Tumor-SM-GXH34,SM-GXJ12
AB018-Tumor-SM-GXH35,SM-GXIZZ
AB035-Tumor-SM-AS99X,SM-GXJ1T
AB035-Tumor-SM-HPY1S,SM-HPY1S
AB039-Tumor-SM-ATX5J,SM-E9H9G
AB040-Tumor-SM-AYHSK,SM-GXIZQ
AB053-Tumor-SM-CZNEI,SM-GXJ1Q
AB058-Tumor-SM-DCBWY,SM-GXJ1Z
BT1016-Tumor-SM-D6H74,SM-GXIZI
BT632-Tumor-SM-5LV7E,SM-GXIZY
BT856-Tumor-SM-AI7RN,SM-E9H93
BT890-Tumor-SM-AV5LX,SM-E9H9J
BT921-Tumor-SM-BYBA6,SM-GXIZG
BT923-Tumor-SM-BYB9Z,SM-GXIZV
BT924-Tumor-SM-BYBA2,SM-GXIZR
BT954-Tumor-SM-CJELA,SM-E9H9M
BT990-Tumor-SM-CSQOS,SM-GXIZP
CCLF_Mix_RNASeq_June2016-AA22-Tumor-SM-ALFLX,SM-CIRP8
CCLF_Mix_RNASeq_June2016-AA23-Tumor-SM-ASBOF,SM-CIRPB
CCLF_Mix_RNASeq_June2016-AA25-Tumor-SM-B4LHK,SM-CIRP9
CCLF_Mix_RNASeq_June2016-AB002-Tumor-SM-5LB1D,SM-CIROP
CCLF_Mix_RNASeq_June2016-AB002-Tumor-SM-5LB1O,SM-CIRPA
CCLF_Mix_RNASeq_June2016-BT584-Tumor-SM-5CUQF,SM-CIROO
CCLF_Mix_RNASeq_June2016-BT607-Tumor-SM-5CUQR,SM-CIROR
CCLF_Mix_RNASeq_June2016-EW010-Tumor-SM-9NPSE,SM-CIRP6
CCLF_Mix_RNASeq_June2016-JL16-Tumor-SM-5LV2J,SM-CIROW
CCLF_Mix_RNASeq_June2016-JL30-Tumor-SM-78KL4,SM-CIROX
CCLF_Mix_RNASeq_June2016-JL37-Tumor-SM-7HEVC,SM-CIROY
CCLF_Mix_RNASeq_June2016-PEDS078-Tumor-SM-7RWWC,SM-CIRP2
CCLF_Mix_RNASeq_June2016-PEDS092-Tumor-SM-A1K8R,SM-CIRP5
CCLF_Mix_RNASeq_June2016-PEDS117-Tumor-SM-ACMZA,SM-CIRP4
CCLF_NH1002-Tumor-SM-HPY1M,SM-HPY1M
CCLF_NH1003-Tumor-SM-HPY1N,SM-HPY1N
CCLF_NH1006-Tumor-SM-HPY1G,SM-HPY1G
CCLF_PEDS1011-Tumor-SM-DKOHT,SM-GXIZT
CCLF_SS1002-Tumor-SM-HPY21,SM-HPY21
CCLF_SS1009-Tumor-SM-HPY1V,SM-HPY1V
COL016-Tumor-SM-HPY1J,SM-HPY1J
CY001-Tumor-SM-B288N,SM-E9H9H
CY002-Tumor-SM-B21KX,SM-E9H8U
CY003-Tumor-SM-C1AHL,SM-E9H92
CY004-Tumor-SM-CDWM5,SM-E9H8V
CY012-Tumor-SM-HPY1Z,SM-HPY1Z
CY016-Tumor-SM-HPY1K,SM-HPY1K
CY017-Tumor-SM-HPY1F,SM-HPY1F
DW019-Tumor-SM-E8WFT,SM-E9H9D
DW020-Tumor-SM-E8WFU,SM-E9H9E
DW023-Tumor-SM-E8WFV,SM-E9H9F
HG002-Tumor-SM-HPY1X,SM-HPY1X
HG018-Tumor-SM-HPY1R,SM-HPY1R
HG019-Tumor-SM-HPY1T,SM-HPY1T
JL27-Tumor-SM-GXI9O,SM-GXJ1W
JL36-Tumor-SM-7HEVF,SM-GXIZK
JL42-Tumor-SM-A2Q9H,SM-E9H8X
JL49-Tumor-SM-AVV4A,SM-GXJ23
JL50-Tumor-SM-AYSAM,SM-E9H8Y
JL56-Tumor-SM-CTTUZ,SM-E9H9C
PEDS012-Tumor-SM-9J5O9,SM-GXIZX
PEDS012-Tumor-SM-GBCCV,SM-GAWR6
PEDS015-Tumor-SM-5LB4X,SM-GXJ11
PEDS018-Tumor-SM-6M6IM,SM-E9H9R
PEDS1012-Tumor-SM-GBCD2,SM-GAWQN
PEDS1041-Tumor-SM-GBCD4,SM-GAWQP
PEDS110-Tumor-SM-GXH6H,SM-GXIZW
PEDS118-Tumor-SM-A7I7P,SM-E9H9L
PEDS145-Tumor-SM-GBCCW,SM-GAWR7
PEDS145-Tumor-SM-GBCCY,SM-GAWR9
PEDS149-Tumor-SM-AUNSL,SM-E9H9K
PEDS157-Tumor-SM-B5FXU,SM-E9H91
PEDS172-Tumor-SM-GXK36,SM-GXIZH
PEDS187-Tumor-SM-CY8E5,SM-GXJ1R
PEDS196-Tumor-SM-GBCCX,SM-GAWR8
PEDS204-Tumor-SM-GBCCZ,SM-GAWRA
PEDS204-Tumor-SM-GBCD1,SM-GAWQM
RP-571_BT1009_v2_RNA_OnPrem,SM-IFMSN
RP-571_BT923_v2_RNA_OnPrem,SM-IFMSM
RP-571_BT953_v2_RNA_OnPrem,SM-IFMSL
RP-571_BT987_v2_RNA_OnPrem,SM-IFMSJ
RP-571_CCLF_AB1004T_v1_RNA_OnPrem,SM-I7WCE
RP-571_CCLF_AB1008T_ASC_v1_RNA_OnPrem,SM-HWXN8
RP-571_CCLF_AB1013T_v1_RNA_OnPrem,SM-HWXNE
RP-571_CCLF_AB1016T_v1_RNA_OnPrem,SM-HWXNR
RP-571_CCLF_AB1017T_v1_RNA_OnPrem,SM-HWXNM
RP-571_CCLF_AB1018T_v1_RNA_OnPrem,SM-HWXNF
RP-571_CCLF_AB1021T_ASC_v1_RNA_OnPrem,SM-HWXNT
RP-571_CCLF_AB1029T_ASC_v1_RNA_OnPrem,SM-HWXNQ
RP-571_CCLF_AB1030T_v1_RNA_OnPrem,SM-HWXNS
RP-571_CCLF_AB1031T_v1_RNA_OnPrem,SM-HWXNJ
RP-571_CCLF_AB1036T_v1_RNA_OnPrem,SM-HWXNB
RP-571_CCLF_AB1039T_v1_RNA_OnPrem,SM-HWXNP
RP-571_CCLF_AB1040T_PF_v1_RNA_OnPrem,SM-HWXNI
RP-571_CCLF_AB1041T_v1_RNA_OnPrem,SM-HWXNA
RP-571_CCLF_AB1049T_ASC_v1_RNA_OnPrem,SM-HWXNO
RP-571_CCLF_AB1053T_ASC_v1_RNA_OnPrem,SM-HWXNN
RP-571_CCLF_AB1054T_v1_RNA_OnPrem,SM-HWXND
RP-571_CCLF_AB1066T_v1_RNA_OnPrem,SM-HWXNU
RP-571_CCLF_AB1067T_v1_RNA_OnPrem,SM-I7WCD
RP-571_CCLF_AB1068T_ASC_v1_RNA_OnPrem,SM-HWXNC
RP-571_CCLF_AB1070T_ASC_v1_RNA_OnPrem,SM-HWXN9
RP-571_CCLF_AB1075T_v1_RNA_OnPrem,SM-I7WCF
RP-571_CCLF_AB1081T_v1_RNA_OnPrem,SM-HWXNL
RP-571_CCLF_KL1023T_v2_RNA_OnPrem,SM-IFMSU
RP-571_CCLF_KL1060T_v2_RNA_OnPrem,SM-IFMSH
RP-571_CCLF_KL1066T_v2_RNA_OnPrem,SM-IFMSF
RP-571_CCLF_KL1092T_v2_RNA_OnPrem,SM-IFMSG
RP-571_CCLF_KL1154T_v2_RNA_OnPrem,SM-IFMST
RP-571_CY018T_v2_RNA_OnPrem,SM-IFMSE
RP-571_CY020T_v2_RNA_OnPrem,SM-IFMSO
RP-571_DW036T_v2_RNA_OnPrem,SM-IFMSI
SM045-Tumor-SM-AREHF,SM-GXIZU
SP022-Tumor-SM-B289M,SM-GXJ1U
SP025-Tumor-SM-C1JOO,SM-GXJ1S
SP025-Tumor-SM-HPY1Q,SM-HPY1Q
